Unnamed: 0,firstname,count,taux_sm,taux_ab,taux_b,taux_tb,taux_fel,Traditionnel,Moderne,Inventé,Européen,Musulman,Africain,Asiatique
15367,MAFUILA,1,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
15368,MAFUTA,1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,1,0
15369,MAGAGI,1,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0
15370,MAGALHAES,9,0.333333333333333,0.111111111111111,0.444444444444444,0.111111111111111,0.0,0,0,0,0,0,0,0
15371,MAGALI,2,0.0,0.0,1.0,0.0,0.0,1,0,0,0,0,0,0
15372,MAGALIE,1,0.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,0
15373,MAGALY,1,1.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
15374,MAGANGA,2,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
15375,MAGDA,7,0.0,0.142857142857143,0.0,0.571428571428571,0.285714285714286,0,0,0,1,0,0,0
15376,MAGDALENA,7,0.0,0.285714285714286,0.0,0.714285714285714,0.0,0,0,0,1,0,0,0
15377,MAGDALÉNA,2,0.0,0.5,0.0,0.5,0.0,0,0,0,1,0,0,0
15378,MAGDELEINE,1,0.0,0.0,1.0,0.0,0.0,1,0,0,0,0,0,0
15379,MAGDILINA,1,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0
15380,MAGENA,2,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
15381,MAGENDIE,1,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
15382,MAGGIE,4,0.0,0.0,1.0,0.0,0.0,0,0,0,1,0,0,0
15383,MAGGIO,2,0.0,0.5,0.5,0.0,0.0,0,0,0,0,0,0,0
